task,model,distribution,pool,batch,method,status,wall_time_s,throughput_per_s,incremental_vs_current_b32,speedup_vs_ase_b1,peak_allocated_GB,peak_reserved_GB,memory_fraction,observed_backend,neighbor_time_s,kernel_time_s,optimizer_time_s,model_calls,neighbor_rebuilds,converged_jobs,max_abs_energy_drift_eV_per_atom
nve,AtomBit,H276,32,32,current_B32_auto,passed,121.47744936309755,263.4233774891965,1.0,4.313743981558428,12.454510592,72.693579776,0.8550386581050976,"cuda_dense,matscipy",4.888374199390417,,,,927,,
nve,AtomBit,H276,256,64,native_cached_auto,passed_without_reference,932.8765545641072,274.4200170403229,1.041745116382381,4.49382172611238,24.84543744,83.716210688,0.9846893861725007,cuda_dense+matscipy,21.072658980607976,779.042149902344,0.0,4004,3980,,0.00579053768213162
nve,AtomBit,H276,256,128,native_cached_auto,passed_without_reference,905.5655997311696,282.6962509132385,1.0731631095453265,4.6293509050316795,49.552897536,83.510689792,0.9822720019733747,cuda_dense,11.670564829349512,772.6517910614016,0.0,2002,2000,,0.005791788515840592
nve,AtomBit,H46,32,32,current_B32_auto,passed,43.190432169009,740.9048345425305,1.0,10.617476969626116,2.364666368,4.23624704,0.049827715124839085,"cuda_dense,matscipy",2.9037720621824286,,,,868,,
nve,AtomBit,H46,256,64,native_cached_auto,passed_without_reference,304.2662258739583,841.368440630172,1.1355958301306974,12.057162573216132,4.6808192,11.811160064,0.13892558989262063,cuda_dense+matscipy,17.463473404645914,159.95301991558074,0.0,4004,3931,,0.006935365822001764
nve,AtomBit,H46,256,128,native_cached_auto,passed_without_reference,278.52190680708736,919.1377544938082,1.2405611512325023,13.171629452623955,9.25773312,22.951231488,0.2699576803595242,cuda_dense+matscipy,10.434880192637447,151.11002714729315,0.0,2002,2000,,0.006939001705339241
nve,AtomBit,H46,256,256,native_cached_auto,passed_without_reference,278.51743674464524,919.1525061847742,1.2405810616046287,13.171840850541464,18.394362368,83.361792,0.9805206317882937,cuda_dense,6.130973119735719,146.81662076568614,0.0,1001,1000,,0.0069375245467476225
nve,MACE-OFF-Small,H276,32,32,current_B32_auto,passed,112.75939963804558,283.7900884779369,1.0,6.0948316103049285,13.516966912,18.889048064,0.2221773416482305,"cuda_dense,matscipy",5.7137715787887595,,,,925,,
nve,MACE-OFF-Small,H276,256,64,native_cached_auto,passed_without_reference,862.8244355833158,296.6999883666139,1.0454910175260779,6.372091701907803,26.97314048,38.222692352,0.4495841266659986,cuda_dense+matscipy,24.427900397062295,705.8282043304439,0.0,4004,3973,,7.4122347080223e-05
nve,MACE-OFF-Small,H276,256,128,native_cached_auto,passed_without_reference,830.3847519299015,308.2908247111102,1.0863340096357104,6.6210228612770265,53.859608576,75.421974528,0.8871306667077786,cuda_dense+matscipy,11.613184149384498,698.6998587341303,0.0,2002,1998,,7.412234697477433e-05
nve,MACE-OFF-Small,H46,32,32,current_B32_auto,passed,38.999188385903835,820.5298962469261,1.0,14.957595725476963,2.33634816,3.238002688,0.03808613472908492,matscipy,1.8182955179810538,,,,865,,
nve,MACE-OFF-Small,H46,256,64,native_cached_auto,passed_without_reference,274.7545714713633,931.7406390331233,1.1355352721392251,16.98487753267799,4.599148032,5.156896768,0.06065660964949471,matscipy,13.74070788681508,131.16730229187013,0.0,4004,3915,,0.0001654701858490665
nve,MACE-OFF-Small,H46,256,128,native_cached_auto,passed_without_reference,262.9368474665098,973.6178191328116,1.1865720232572927,17.748264623043834,9.114614272,11.645485056,0.13697688222189675,cuda_dense+matscipy,13.255624099612229,124.24792711257933,0.0,2002,1998,,0.00016547018648175847
nve,MACE-OFF-Small,H46,256,256,native_cached_auto,passed_without_reference,255.86320750787854,1000.5346313502978,1.2193762054578472,18.238936318504614,18.13247232,25.717374976,0.3024936983049018,cuda_dense+matscipy,8.387236514806752,120.69303091430672,0.0,1001,1000,,0.00016547018648175847
variable_bfgs,AtomBit,H276,32,32,current_B32_auto,passed,34.56802615430206,0.9257109404268816,1.0,8.732034470977469,12.360745984,,0.14538994629105736,"cuda_dense,matscipy",1.4125422413349142,,,,182,,
variable_bfgs,AtomBit,H276,256,64,active_refill_auto,passed,265.09892548108473,0.965677244958377,1.0431736331354855,9.109028123753864,27.313289728,,0.3212652158475105,cuda_dense+matscipy,6.893580982685089,76.3175250949859,170.21715784549718,514,514,256,
variable_bfgs,AtomBit,H276,256,128,active_refill_auto,passed,269.69839972630143,0.949208450104995,1.0253832040348123,8.953681483593304,54.112933376,,0.6364888079871576,cuda_dense+matscipy,6.9433857419490765,78.51668609809873,173.37683674716953,377,377,256,
variable_bfgs,AtomBit,H46,32,32,current_B32_auto,passed,18.648873328696936,1.7159213554611,1.0,6.957186972645739,2.365567488,,0.027824350607429448,"cuda_dense,matscipy",1.8323749128580094,,,,268,,
variable_bfgs,AtomBit,H46,256,64,active_refill_auto,passed,99.27226043585688,2.5787667055834813,1.5028466761464827,10.455585317170259,4.877666816,,0.05737224252661357,cuda_dense+matscipy,12.330338421463965,23.473629612922686,49.91521219825739,610,610,256,
variable_bfgs,AtomBit,H46,256,128,active_refill_auto,passed,91.78398698708043,2.789157547013454,1.6254576808760304,11.308613001977674,9.708384768,,0.11419226168222497,cuda_dense+matscipy,8.843526067256937,21.976755410194404,49.595070067405665,400,400,256,
variable_bfgs,AtomBit,H46,256,256,active_refill_auto,passed,82.82171794166788,3.0909766950294753,1.8013510264862183,12.532335894631949,18.505266688,,0.21766321655283785,cuda_dense,6.240028953552244,19.931165894508357,49.02374927520756,267,267,256,
variable_bfgs,MACE-OFF-Small,H276,32,32,current_B32_auto,passed,41.17150988895446,0.7772364940296979,1.0,8.924577762909662,13.635158528,,0.16037988068212478,"cuda_dense,matscipy",1.765519513726235,,,,254,,
variable_bfgs,MACE-OFF-Small,H276,256,64,active_refill_auto,passed,278.7953585800715,0.9182362335722869,1.1814116303411784,10.543599964985729,27.4728576,,0.323142089975487,cuda_dense+matscipy,7.176201051712034,71.48476012420653,188.97115925312033,494,494,256,
variable_bfgs,MACE-OFF-Small,H276,256,128,active_refill_auto,passed,275.7547602271661,0.9283611270721412,1.1944384163678616,10.65985852988165,54.679955968,,0.6431582585448673,cuda_dense+matscipy,6.9173927671909405,70.2290727882385,188.89314285469064,327,327,256,
variable_bfgs,MACE-OFF-Small,H46,32,32,current_B32_auto,passed,19.64661737624556,1.6287791118022554,1.0,8.806434836718392,2.330209792,,0.027408465228903774,"cuda_dense,matscipy",1.8473751674890522,,,,264,,
variable_bfgs,MACE-OFF-Small,H46,256,64,active_refill_auto,passed,108.4555220939219,2.3604146202745246,1.4491925904321732,12.762220113496058,4.62378752,,0.05438605566882761,cuda_dense+matscipy,7.41486492294072,25.453227207183843,60.65858906960489,725,725,256,
variable_bfgs,MACE-OFF-Small,H46,256,128,active_refill_auto,passed,102.97033155197278,2.48615301263537,1.5263905305639782,13.442058742795686,9.166977536,,0.10782410489913431,cuda_dense+matscipy,5.647920248389235,24.041015800476078,60.66113508224492,486,486,256,
variable_bfgs,MACE-OFF-Small,H46,256,256,active_refill_auto,passed,96.68823579791933,2.647685086891501,1.62556424484215,14.315425595101733,18.1053184,,0.21295893250826736,cuda_dense+matscipy,4.565784863948817,21.96672615814209,61.25027350330352,310,310,256,
