model,task,pool_size,workload_id,method,batch_size,status,wall_time_s,end_to_end_time_s,speedup_vs_ase_b1_measured,speedup_vs_ase_b1_derived,speedup_reference,speedup_vs_ase_b1_end_to_end,throughput_per_s,atoms_per_s,peak_allocated_GB,peak_reserved_GB,gpu_memory_GB,memory_gate_fraction,model_time_s,neighbor_search_time_s,graph_update_time_s,mean_directed_edges_per_system,mean_candidate_edges_per_system,neighbor_rebuild_events,rebuilt_systems,max_energy_error_eV_per_atom,max_force_error_eV_per_A,endpoint_position_rmsd_A_max,endpoint_velocity_rmsd_A_per_fs_max,max_abs_energy_drift_eV_per_atom,mean_abs_energy_drift_eV_per_atom,validation_pass,concurrent_workers,torch_cpu_threads,source_status
MACE-OFF-Small,eval,32,EVAL-MIX-R32-v1,ase_b1,1,passed,0.6365406103432178,5.529217183124274,,,,,50.27173361766478,,0.50588416,0.6815744,85.01788672,0.008016835354243912,0.63637158203125,0.0,0.0,,,0,0,,,,,,,,,,passed
MACE-OFF-Small,eval,32,EVAL-MIX-R32-v1,native_batch,8,passed,0.18334651505574584,5.090539702214301,3.471790070019493,,measured_same_workload,1.0861750436243836,174.5329055764737,,2.033825792,2.472542208,85.01788672,0.029082611946626376,0.0704010887145996,0.0864608325958252,0.051373311996459954,2889.5625,,8,64,1.1072109412887823e-12,7.993605777301127e-15,,,,,True,,,passed
MACE-OFF-Small,eval,32,EVAL-MIX-R32-v1,native_batch,16,passed,0.1670925710350275,5.076373575720936,3.80950874356814,,measured_same_workload,1.089206123357268,191.5106087708224,,3.988194816,4.37256192,85.01788672,0.051431082195687865,0.060442718505859375,0.08566921615600587,0.04901968002319336,2889.5625,,4,64,1.2653839329014653e-12,7.105427357601002e-15,,,,,True,,,passed
MACE-OFF-Small,eval,32,EVAL-MIX-R32-v1,native_batch,32,passed,0.16215871833264828,5.049296103417873,3.925417127665221,,measured_same_workload,1.0950471253570457,197.3375241802048,,7.881865216,8.518631424,85.01788672,0.10019810833519621,0.05686214447021484,0.0878744010925293,0.048337600708007813,2889.5625,,2,64,1.1072109412887823e-12,7.105427357601002e-15,,,,,True,,,passed
AtomBit,nve,32,MD-NVE-H276-R32-v1,ase_b1,1,passed,594.978912843857,663.9578845449723,,,,,53.783418721594096,14.844223567159972,0.563341312,1.241513984,85.01788672,0.014602973937576601,594.979375,0.0,0.0,,,0,0,,,,,0.003875679120276477,0.0018758776246541936,,6,1,passed
AtomBit,nve,32,MD-NVE-H276-R32-v1,native_batch,8,passed,156.24428625125438,181.0741734141484,3.80800429327111,,measured_same_workload,3.6667729694746924,204.80748939862812,56.52686707402136,3.329047552,13.123977216,85.01788672,0.15436724814417968,112.73785314273829,15.098855344295506,37.53263821029664,8636.14366883117,10327.522477522478,1906,2550,2.529310148455134e-06,0.008711278438568115,2.968135929882463e-05,6.96358741234312e-06,0.0038752106652710622,0.0018758918496158076,True,6,1,passed
AtomBit,nve,32,MD-NVE-H276-R32-v1,native_batch,16,passed,141.95717042544857,165.32355696847662,4.191256497017325,,measured_same_workload,4.0161117793489876,225.4201031486845,62.215948469036924,6.48570368,45.690650624,85.01788672,0.5374239749628065,103.78543395996091,15.111674892187125,34.97911466884615,8636.140921578422,10327.51866883117,1439,2550,2.2390614368713866e-06,0.00857400894165039,2.5134971636512984e-05,6.4679049836055425e-06,0.003876005393868891,0.0018762162198187242,True,6,1,passed
AtomBit,nve,32,MD-NVE-H276-R32-v1,native_batch,32,passed,132.46405006200075,154.8281545424834,4.491625558522276,,measured_same_workload,4.28835366866553,241.57497815461758,66.67469397067445,12.455979008,72.630665216,85.01788672,0.8542986425339365,99.36144189071655,14.876933193922032,31.42855000400544,8636.14291958042,10327.525786713286,927,2550,2.930129783740942e-06,0.008040428161621094,2.5874800923489206e-05,6.711887859147019e-06,0.003875328146897164,0.0018757888372398516,True,6,1,passed
AtomBit,nve,32,MD-NVE-H46-R32-v1,ase_b1,1,passed,466.0966225489974,513.7218800196424,,,,,68.65529259791208,3.1581434595039557,0.154530816,0.559939584,85.01788672,0.00658613858333269,466.094625,0.0,0.0,,,0,0,,,,,0.004934549119651444,0.0013449702406515627,,6,1,passed
AtomBit,nve,32,MD-NVE-H46-R32-v1,native_batch,8,passed,83.21555826440454,91.8757652239874,5.601075475189959,,measured_same_workload,5.591484095585168,384.5434756121561,17.68899987815918,0.664157696,1.409286144,85.01788672,0.016576348794005873,53.25867253494263,3.2569543654918656,23.581087390899654,1620.0986513486514,1987.8178696303696,1565,1935,3.006147300479627e-06,0.0016287565231323242,1.655127564875458e-05,3.31330492217633e-06,0.004931781602942426,0.001344663779372214,True,6,1,passed
AtomBit,nve,32,MD-NVE-H46-R32-v1,native_batch,16,passed,56.71845828322694,62.757199686486274,8.21772376501344,,measured_same_workload,8.185863655262233,564.1902295758134,25.952750560487416,1.232537088,2.172649472,85.01788672,0.02555520439075905,31.816803224086776,3.2430321931838964,21.89041200828553,1620.0985264735264,1987.8182442557443,1251,1935,2.280525531817978e-06,0.0021721720695495605,1.4052031058076196e-05,3.679331390820714e-06,0.004932499450186025,0.0013447227361391791,True,6,1,passed
AtomBit,nve,32,MD-NVE-H46-R32-v1,native_batch,32,passed,43.82158447429538,48.63341949414462,10.636233904832851,,measured_same_workload,10.563145371291313,730.2337508761324,33.59075254030209,2.364842496,4.23624704,85.01788672,0.049827715124839085,22.362205317020425,3.170787616372107,20.05448293876647,1620.0993381618382,1987.8202422577422,868,1935,3.0268793520720108e-06,0.0020216703414916992,1.1342131604343296e-05,3.5134361299830937e-06,0.004935928013013757,0.0013449817248005762,True,6,1,passed
AtomBit,nve,32,MD-NVE-MIX-R32-v1,ase_b1,1,passed,529.3376265619881,593.156803634949,,,,,60.45291019238103,,0.537895936,0.887095296,85.01788672,0.010434219553369768,529.33875,0.0,0.0,,,0,0,,,,,0.004319747426343976,0.0012026238395890104,,6,1,passed
AtomBit,nve,32,MD-NVE-MIX-R32-v1,native_batch,8,passed,113.30938131501898,129.32883917493746,4.671613421754914,,measured_same_workload,4.586423317637698,282.4126266388717,,1.944148992,5.203034112,85.01788672,0.06119928773501276,76.22085331678389,11.969817502141,31.721610077857957,5002.754495504496,5988.72234015984,1788,2282,2.9854152538301486e-06,0.020000100135803223,4.3024289929963955e-05,9.55470258834601e-06,0.004320493642845359,0.0012028998546865259,True,6,1,passed
AtomBit,nve,32,MD-NVE-MIX-R32-v1,native_batch,16,passed,96.4683010103181,110.89082568418235,5.4871664683445704,,measured_same_workload,5.349016025223428,331.7151817214789,,3.7316864,4.15236096,85.01788672,0.04884102769662445,63.965017498016344,11.954639745235442,29.76567857170106,5002.753996003996,5988.701735764236,1388,2282,3.524448569281879e-06,0.01775979995727539,4.12643153532762e-05,1.005567765352856e-05,0.004318658856376438,0.0012019299834530237,True,6,1,passed
AtomBit,nve,32,MD-NVE-MIX-R32-v1,native_batch,32,passed,89.18332398682833,102.90564786083996,5.93538795033214,,measured_same_workload,5.764084051412603,358.8114747183694,,7.196781568,7.93772032,85.01788672,0.09336529789480986,59.498334606170644,11.911110028862952,28.235835823059084,5002.753746253747,5988.707167832168,896,2283,3.0476113950143096e-06,0.005153298377990723,1.922240092178547e-05,5.104512100805632e-06,0.00431915642558335,0.0012025316988208742,True,6,1,passed
MACE-OFF-Small,nve,32,MD-NVE-H276-R32-v1,ase_b1,1,passed,695.9061575266533,776.5007739374414,,,,,45.98321146306914,12.691366363807083,0.508911104,0.738197504,85.01788672,0.00868284936828879,695.905625,0.0,0.0,,,0,0,,,,,4.907372035170514e-05,1.8529103980641143e-05,,6,1,passed
MACE-OFF-Small,nve,32,MD-NVE-H276-R32-v1,native_batch,8,passed,133.49770051706582,156.07620780076832,5.212869995747165,,measured_same_workload,4.975138651040565,239.7045033439302,66.15844292292473,3.461856768,4.024434688,85.01788672,0.04733632936859713,100.73287625312804,9.163663359999655,29.719039646148673,4897.250312187813,,1960,2616,6.508713156200837e-09,6.031433313458123e-06,2.0904652179543333e-08,9.425349041838568e-09,4.9073736063555636e-05,1.852907438911063e-05,True,6,1,passed
MACE-OFF-Small,nve,32,MD-NVE-H276-R32-v1,native_batch,16,passed,123.11550019215792,144.80026811780408,5.652465826321521,,measured_same_workload,5.3625644760941285,259.9185313795143,71.73751466074594,6.827020288,9.432989696,85.01788672,0.11095300130273573,93.71936042022702,9.063906216859827,27.81125670623779,4897.250312187813,,1472,2616,6.509029502184063e-09,6.031446495136095e-06,2.0904652773970584e-08,9.42534980294335e-09,4.9073735747209653e-05,1.852907437592955e-05,True,6,1,passed
MACE-OFF-Small,nve,32,MD-NVE-H276-R32-v1,native_batch,32,passed,117.88293610187247,139.0608148551546,5.903366344092946,,measured_same_workload,5.583893455149409,271.4557429443913,74.921785052652,13.517735424,16.23195648,85.01788672,0.19092401735953193,90.06193685150132,9.145184624075892,26.91334848022461,4897.250312187813,,925,2616,6.508502258878687e-09,6.031444750309589e-06,2.0904649881678717e-08,9.425350020183787e-09,4.9073735852658317e-05,1.8529074398996446e-05,True,6,1,passed
MACE-OFF-Small,nve,32,MD-NVE-H46-R32-v1,ase_b1,1,passed,611.5535249011591,675.1086839330383,,,,,52.32575514166471,2.406984736516576,0.147961856,0.742391808,85.01788672,0.008732183739699523,611.5529375,0.0,0.0,,,0,0,,,,,0.0001255376175876059,4.3866451728322517e-05,,6,1,passed
MACE-OFF-Small,nve,32,MD-NVE-H46-R32-v1,native_batch,8,passed,82.82601487729698,91.40365053666756,7.383592290503753,,measured_same_workload,7.386014453134027,386.3520422587826,17.772193943904,0.645743616,0.952107008,85.01788672,0.011198902310236111,56.04700039863586,1.850473119556904,21.75910829210283,860.213036963037,,1619,1982,1.0183809891990993e-08,5.2516375099731505e-06,2.4308729589124616e-08,1.0175058707808392e-08,0.0001255374763391244,4.386641996520863e-05,True,6,1,passed
MACE-OFF-Small,nve,32,MD-NVE-H46-R32-v1,native_batch,16,passed,52.37718306295574,58.03962129121646,11.675952946268433,,measured_same_workload,11.631858873538294,610.9530549120406,28.103840525953867,1.208603648,1.610612736,85.01788672,0.018944398621720995,29.835651976585382,1.8017116194963463,19.97210326004029,860.213036963037,,1275,1982,1.0182702681049705e-08,5.251642409831447e-06,2.430873090131332e-08,1.0175059910495105e-08,0.0001255374763391244,4.386641994049411e-05,True,6,1,passed
MACE-OFF-Small,nve,32,MD-NVE-H46-R32-v1,native_batch,32,passed,37.51722195604816,41.657005933113396,16.30060790795227,,measured_same_workload,16.206365983600143,852.9416180517937,39.23531443038251,2.33634816,3.238002688,85.01788672,0.03808613472908492,18.307891525268555,1.7507402547001838,18.461180093765247,860.213036963037,,865,1982,1.0183968064982606e-08,5.251639568770727e-06,2.4308731401670802e-08,1.0175058406272273e-08,0.0001255374763391244,4.386641978232111e-05,True,6,1,passed
MACE-OFF-Small,nve,32,MD-NVE-MIX-R32-v1,ase_b1,1,passed,640.6415492258966,710.525088230148,,,,,49.94992915877281,,0.510041088,0.740294656,85.01788672,0.008707516553994156,640.64575,0.0,0.0,,,0,0,,,,,8.027655870967504e-05,3.213244831122342e-05,,6,1,passed
MACE-OFF-Small,nve,32,MD-NVE-MIX-R32-v1,native_batch,8,passed,93.86368054011837,108.11859909445047,6.825233631788809,,measured_same_workload,6.5717193358142385,340.91993639992467,,2.052230656,2.44318208,85.01788672,0.028737271346751254,64.98540037822721,6.868537180781365,25.97890048050881,2845.942182817183,,1779,2297,1.1309527073298459e-08,5.694420611490614e-06,2.4224578512928446e-08,1.0116496673415258e-08,8.027659619667405e-05,3.213241186223467e-05,True,6,1,passed
MACE-OFF-Small,nve,32,MD-NVE-MIX-R32-v1,native_batch,16,passed,83.24275467125699,96.45003999117762,7.696063780636811,,measured_same_workload,7.366768207614434,384.41784064420597,,4.014901248,5.091885056,85.01788672,0.05989192689262836,57.25023492240908,6.907500810563569,24.48835441541673,2845.942182817183,,1382,2297,1.131079245723136e-08,5.694417473556257e-06,2.4224571072964383e-08,1.0116496191569528e-08,8.027659619667405e-05,3.213241211926579e-05,True,6,1,passed
MACE-OFF-Small,nve,32,MD-NVE-MIX-R32-v1,native_batch,32,passed,77.38263228628784,90.02545428695157,8.278880290033994,,measured_same_workload,7.892491005548112,413.5294840011585,,7.904497152,10.995367936,85.01788672,0.1293300546532333,53.7978507270813,6.7765930590629555,22.816234239578282,2845.942182817183,,901,2297,1.1310001592273298e-08,5.694412624990264e-06,2.422457587564192e-08,1.0116496534048564e-08,8.027659619667405e-05,3.2132411970978615e-05,True,6,1,passed
AtomBit,nve,256,MD-NVE-H276-R256-v1,native_batch,64,passed_without_reference,1038.4990625320934,1152.0484401658177,,4.583375637475609,measured_R32_ASE_throughput_exact_repeats,,246.50961106870395,68.0366526549623,24.84543744,83.70782208,85.01788672,0.9845907174296792,777.4862533531187,120.888839129448,252.4617710170744,8630.73630275974,10326.446530032468,3980,20469,,,,,0.005792697270716206,0.0017806736320465572,,6,1,passed_without_reference
AtomBit,nve,256,MD-NVE-H276-R256-v1,native_batch,128,passed_without_reference,1026.5706659392454,1138.6874146261252,,4.636632879428636,measured_R32_ASE_throughput_exact_repeats,,249.37396761262085,68.82721506108335,49.555785216,82.965430272,85.01788672,0.9758585336899798,772.9285267410281,120.09613570690163,247.88984683990483,8630.73580325924,10326.4436500999,2000,20468,,,,,0.005790306174226085,0.001780693054847169,,6,1,passed_without_reference
AtomBit,nve,256,MD-NVE-H276-R256-v1,native_batch,16,passed_without_reference,1127.3782166019082,1248.9430945743807,,4.222035899449717,measured_R32_ASE_throughput_exact_repeats,,227.0755246377063,62.67284480000694,6.487643136,45.690650624,85.01788672,0.5374239749628065,827.4670069274903,121.16326367545129,275.8055175008774,8630.735452047951,10326.448699737763,11751,20468,,,,,0.005790047023600747,0.0017805976280269354,,6,1,passed_without_reference
AtomBit,nve,256,MD-NVE-H276-R256-v1,native_batch,32,passed_without_reference,1080.3741830079816,1197.5037850351073,,4.405724773521075,measured_R32_ASE_throughput_exact_repeats,,236.95494026638428,65.39956351352205,12.474965504,81.28561152,85.01788672,0.9561001179399816,796.6247224426268,121.2241810534,269.63360161209107,8630.735576923076,10326.444219842657,7430,20469,,,,,0.005790599878279396,0.0017805360257623591,,6,1,passed_without_reference
AtomBit,nve,256,MD-NVE-H46-R256-v1,native_batch,128,passed_without_reference,305.3258798951283,336.54998880717903,,12.212436697710388,measured_R32_ASE_throughput_exact_repeats,,838.4484148147858,38.568627081480145,9.25773312,22.951231488,85.01788672,0.2699576803595242,151.23653780174232,24.766874185323722,150.88586485290546,1620.6567260864135,1988.6261082667334,2000,15887,,,,,0.006936840389085853,0.0012185064994770748,,6,1,passed_without_reference
AtomBit,nve,256,MD-NVE-H46-R256-v1,native_batch,256,passed_without_reference,297.58837810670957,327.9530371017754,,12.529968421867979,measured_R32_ASE_throughput_exact_repeats,,860.2486482459448,39.57143781931346,18.396256768,83.12061952,85.01788672,0.9776839054321768,146.9176037864685,24.6286013908386,148.78078368377675,1620.6567729145854,1988.6250156093906,1000,15886,,,,,0.006937065850127303,0.0012184095406985367,,6,1,passed_without_reference
AtomBit,nve,256,MD-NVE-MIX-R256-v1,native_batch,64,passed_without_reference,678.5202815206721,756.561552723404,,6.24108243751427,measured_R32_ASE_throughput_exact_repeats,,377.2915960982967,,14.763812352,83.187728384,85.01788672,0.9784732553747484,468.72816610336304,72.5539149147272,202.5800102882385,5125.048490571928,6153.682473776224,3961,18088,,,,,0.007426124552021856,0.0014952990341176007,,6,1,passed_without_reference
AtomBit,nve,256,MD-NVE-MIX-R256-v1,native_batch,128,passed_without_reference,662.9250352689996,739.3762432183139,,6.38790328800535,measured_R32_ASE_throughput_exact_repeats,,386.16734378740296,,29.42325248,83.848331264,85.01788672,0.9862434188719387,460.5125307312014,72.31332916271685,197.8666958732603,5125.047991071428,6153.679484577922,1998,18090,,,,,0.007424028023429539,0.0014952475380528654,,6,1,passed_without_reference
AtomBit,nve,256,MD-NVE-MIX-R256-v1,native_batch,32,passed_without_reference,700.4567269082181,780.096654612571,,6.0456283019618775,measured_R32_ASE_throughput_exact_repeats,,365.4758247950184,,7.607856128,49.088036864,85.01788672,0.5773848158054993,486.5526055221557,72.1065201355219,202.31410987472546,5125.048279845155,6153.68058503996,7211,18090,,,,,0.00742463961891506,0.0014950751488954958,,6,1,passed_without_reference
MACE-OFF-Small,nve,256,MD-NVE-H276-R256-v1,native_batch,64,passed_without_reference,906.4242860195227,1006.6519324756227,,6.141990396860701,measured_R32_ASE_throughput_exact_repeats,,282.42844322298555,77.95025032954402,26.973531136,37.742444544,85.01788672,0.4439353411394698,705.5517443084715,71.03328376877307,195.89264331626896,4897.065536026474,,3973,20742,,,,,7.4122347080223e-05,1.995234968414177e-05,,6,1,passed_without_reference
MACE-OFF-Small,nve,256,MD-NVE-H276-R256-v1,native_batch,128,passed_without_reference,895.2524190181866,994.6909371395595,,6.218636377792497,measured_R32_ASE_throughput_exact_repeats,,285.9528715719667,78.9229925538628,53.86143232,64.720207872,85.01788672,0.7612540180532965,699.12188079834,70.75387060642237,192.13388463974002,4897.065536026474,,1998,20742,,,,,7.412234686932567e-05,1.9952349714623015e-05,,6,1,passed_without_reference
MACE-OFF-Small,nve,256,MD-NVE-H46-R256-v1,native_batch,128,passed_without_reference,261.45576212974265,288.3052826737985,,18.712259999003177,measured_R32_ASE_throughput_exact_repeats,,979.1331348550073,45.04012420333033,9.115713536,11.645485056,85.01788672,0.13697688222189675,124.61294661712652,13.538999563515176,135.16861516189562,856.780430506993,,1998,15850,,,,,0.00016547018648175847,4.175246716774045e-05,,6,1,passed_without_reference
MACE-OFF-Small,nve,256,MD-NVE-H46-R256-v1,native_batch,256,passed_without_reference,257.4307181579061,283.6057976973243,,19.004834520984762,measured_R32_ASE_throughput_exact_repeats,,994.4423176529053,45.744346612033645,18.13305344,21.950889984,85.01788672,0.25819143277806467,120.96995761108391,13.41441693353653,135.41279878997807,856.780430506993,,1000,15850,,,,,0.00016547018648175847,4.175246716156182e-05,,6,1,passed_without_reference
MACE-OFF-Small,nve,256,MD-NVE-MIX-R256-v1,native_batch,128,passed_without_reference,586.6706594428979,654.9019548217766,,8.73596167000067,measured_R32_ASE_throughput_exact_repeats,,436.3606665502881,,31.48954112,38.155583488,85.01788672,0.4487947767234268,411.37374139404324,41.210434852302114,172.5246279869078,2879.2266717657344,,2000,18208,,,,,0.00012304956860885875,3.056284712068888e-05,,6,1,passed_without_reference
MACE-OFF-Small,nve,256,MD-NVE-MIX-R256-v1,native_batch,256,passed_without_reference,581.3058641250245,649.3647260316648,,8.816584710566215,measured_R32_ASE_throughput_exact_repeats,,440.38778171510194,,62.855054336,75.661049856,85.01788672,0.8899427258781903,408.33935000610376,40.88666401290895,170.7131786880492,2879.2266717657344,,1000,18208,,,,,0.00012304956797616677,3.056284707805632e-05,,6,1,passed_without_reference
